,size,radius,mass,velocity dispersion,virial parameter
0,501.0,12.627848,64303.256319,4.147453,1.351199
1,49.0,3.962119,7999.99257,3.692877,2.701641
2,17.0,2.346957,3327.029952,3.226095,2.936721
3,223.0,8.429463,35708.313118,3.977826,1.494109
4,12.0,1.963605,1629.783258,3.420352,5.638011
5,87.0,5.274129,15534.664286,3.595549,1.755655
6,106.0,5.796555,18642.519714,3.85284,1.846236
