,size,radius,mass,velocity dispersion,virial parameter
0,11.0,1.892177,1846.300015,3.644054,5.443636
1,16.0,2.226519,2279.135276,2.95124,3.403495
2,12.0,1.963605,1985.498042,2.797759,3.096457
3,45.0,3.784354,6858.781112,4.309388,4.098604
4,54.0,4.132244,8804.33697,3.97504,2.966417
5,23.0,2.726917,3558.986904,3.501379,3.757368
