,id,ancestor,size,radius,mass,velocity dispersion,virial parameter
0,78,78,6.360153,1.422849,1828.801851,15.350271,219.99131
1,37,37,857.317665,16.519464,336667.799986,42.148358,104.601263
2,149,149,1.45357,0.68021,390.95246,4.85631,49.239439
3,156,156,2.398913,0.873841,676.094772,9.448276,138.455804
4,152,152,5.713889,1.348624,1575.263913,5.658909,32.899129
5,162,162,1.512131,0.693777,397.052705,5.037479,53.208288
6,163,163,2.091468,0.815926,505.899756,4.085036,32.296776
7,164,164,1.399192,0.667365,346.454884,9.129465,192.658827
8,159,159,13.971004,2.108817,3730.395262,6.68535,30.318912
9,167,167,2.085193,0.814701,546.113604,7.860922,110.622503
