,id,ancestor,size,radius,mass,velocity dispersion,virial parameter
0,0,0,1.309259,0.645562,2237.055405,3.573856,4.422993
1,17,17,2.773286,0.939555,5723.164649,4.631091,4.225072
2,18,18,2.158395,0.828878,3515.395219,8.554681,20.706428
3,22,22,5.960683,1.377441,9497.238213,3.999356,2.783794
4,4,4,85.900757,5.229059,182534.221145,13.844713,6.589135
5,30,30,4.157838,1.150426,6906.68659,9.637551,18.565372
6,28,28,26.697584,2.915151,73838.900199,12.277941,7.141808
7,35,35,1.777747,0.752246,3614.111946,12.627536,39.826946
8,39,39,1.338539,0.652741,2960.273954,8.091047,17.322055
