,id,ancestor,size,radius,mass,velocity dispersion,virial parameter
0,8,37,3.030537,0.982166,939.398699,8.403281,88.595961
1,11,37,2.36545,0.867725,740.588558,12.004728,202.623991
2,42,37,2.089376,0.815518,653.619025,13.088059,256.472268
3,56,37,2.660347,0.920225,1088.489735,5.090947,26.293492
4,59,37,1.09802,0.591194,784.827985,13.808098,172.347414
5,60,37,1.213051,0.621391,358.933855,5.427711,61.201908
6,61,37,1.300893,0.643496,462.841552,7.001177,81.778069
7,62,37,1.359454,0.65782,403.817446,5.635903,62.091268
8,63,37,4.383716,1.181262,1650.905258,35.34441,1072.622378
9,64,37,1.779839,0.752689,676.415319,6.430358,55.214552
10,65,37,2.564139,0.903433,1443.6756,2.143404,3.449972
11,66,37,10.384137,1.818069,7624.08343,11.069587,35.064425
12,67,37,1.802845,0.757538,625.605463,5.51159,44.140664
13,68,37,1.162856,0.608398,363.419495,15.775621,499.958535
14,69,37,3.245958,1.016475,1074.0486,5.363555,32.670759
15,70,37,3.988429,1.126746,2078.758597,17.449313,198.043145
16,71,37,2.60806,0.911137,1205.69955,10.834018,106.440068
17,74,37,1.984803,0.794847,1302.807687,2.115346,3.276028
18,75,37,5.565395,1.330985,2990.546957,7.964968,33.882216
19,77,37,2.342444,0.863495,1534.243814,13.829167,129.163132
20,78,78,6.360153,1.422849,1828.801851,15.350271,219.99131
21,79,37,2.829756,0.949073,838.756066,10.012804,136.130844
22,80,37,5.197297,1.286216,3257.715286,19.664692,183.212991
23,81,37,2.064279,0.810605,1098.923473,13.180173,153.767728
24,82,37,2.248328,0.84597,1418.376202,16.884114,204.033384
25,83,37,1.265338,0.634641,669.179922,38.627,1698.042805
26,84,37,1.867681,0.771039,996.868102,11.857395,130.496388
27,85,37,6.000421,1.382025,2795.458558,6.843337,27.783051
28,86,37,1.907418,0.779198,570.698275,10.783302,190.513723
29,87,37,2.325712,0.860405,654.444347,3.33901,17.589234
30,89,37,1.717095,0.739303,487.080553,12.096314,266.507106
31,92,37,4.898217,1.24866,3421.938244,12.864087,72.462125
32,94,37,1.863498,0.770175,1115.742994,14.210444,167.271463
33,95,37,2.725182,0.931371,1854.530813,17.678414,188.346098
34,96,37,1.457753,0.681188,710.270755,12.589272,182.400311
35,99,37,9.254744,1.716356,5138.342648,13.655732,74.747291
36,100,37,3.043085,0.984197,1519.198886,23.14241,416.357055
37,105,37,1.656442,0.726128,704.860972,25.48689,803.016904
38,106,37,18.07028,2.398322,14347.625766,13.366991,35.840662
39,108,37,1.28207,0.638823,808.933579,17.509116,290.521104
40,110,37,2.390547,0.872316,1696.561076,27.956878,482.239577
41,112,37,2.329895,0.861179,1667.10961,19.404436,233.406189
42,113,37,1.089655,0.588938,692.583719,8.523175,74.12782
43,114,37,4.50293,1.197216,2166.079263,22.63951,339.948852
44,115,37,1.181679,0.613303,819.741879,15.70366,221.40161
45,116,37,3.563861,1.065088,2360.470739,30.984918,519.83889
46,117,37,1.715003,0.738852,1000.852189,24.589081,535.615897
47,118,37,1.68154,0.731608,1064.091251,56.251809,2610.682223
48,119,37,2.283883,0.852633,1196.806884,20.500239,359.283255
49,120,37,1.769382,0.750474,766.904466,16.014186,301.151829
50,121,37,1.24024,0.628316,512.960941,32.649812,1566.881979
51,122,37,1.052008,0.578675,473.640781,25.138693,926.514366
52,123,37,2.767012,0.938492,1088.610701,16.716153,289.0759
53,124,37,2.886225,0.958496,1105.835809,20.219087,425.210389
54,125,37,1.100112,0.591757,447.942191,7.500131,89.174449
55,126,37,1.300893,0.643496,673.654572,13.035319,194.774968
56,127,37,2.099833,0.817556,847.60082,14.541998,244.768503
57,128,37,3.317068,1.027548,1278.353414,10.543538,107.227267
58,130,37,5.531932,1.326977,1956.2709,4.167289,14.135882
59,132,37,1.229783,0.625661,411.527653,2.999759,16.417016
60,134,37,3.195762,1.008585,1192.828791,11.793807,141.131338
61,135,37,1.572784,0.707554,593.085154,44.114878,2786.082133
62,136,37,1.55396,0.703307,496.39039,4.615755,36.223336
63,137,37,1.192137,0.61601,317.400724,10.968195,280.176522
64,138,37,1.859315,0.76931,626.102532,24.244098,866.661205
65,140,37,2.524401,0.896405,950.198166,18.500673,387.477396
66,141,37,2.235779,0.843606,852.471928,19.408286,447.316611
67,142,37,1.175405,0.611672,333.368519,3.683427,29.873049
68,143,37,1.940882,0.786004,694.3064,10.58687,152.26141
69,145,37,1.060374,0.580971,285.167553,4.488183,49.246666
70,146,37,1.246515,0.629903,400.55025,1.580249,4.712478
71,147,37,1.390826,0.665367,531.283736,6.474685,63.001869
72,148,37,2.50767,0.893429,700.977851,3.922558,23.532924
73,149,149,1.45357,0.68021,390.95246,4.85631,49.239439
74,150,37,5.517292,1.32522,1337.720038,4.914468,28.711579
75,151,156,1.244423,0.629374,344.337646,8.032823,141.527962
76,152,152,5.713889,1.348624,1575.263913,5.658909,32.899129
77,153,37,1.219326,0.622996,362.24609,14.024503,405.917157
78,154,37,1.543503,0.700937,507.736681,12.811614,271.912515
79,155,37,1.229783,0.625661,315.745709,4.321217,44.401261
80,157,156,1.112661,0.595123,323.964964,6.873601,104.149749
81,158,37,1.484942,0.687511,436.284931,13.485662,343.902537
82,161,159,4.904492,1.249459,1475.90708,6.188065,38.900395
83,162,162,1.512131,0.693777,397.052705,5.037479,53.208288
84,163,163,2.091468,0.815926,505.899756,4.085036,32.296776
85,164,164,1.399192,0.667365,346.454884,9.129465,192.658827
86,165,159,1.305076,0.64453,377.313701,6.700516,92.031845
87,166,159,1.290436,0.640904,351.676895,6.698932,98.139037
88,167,167,2.085193,0.814701,546.113604,7.860922,110.622503
