,id,ancestor,size,radius,mass,velocity dispersion,virial parameter
0,5,0,112.060767,5.972441,2291523.153573,15.341193,0.736084
1,6,0,42.739226,3.688403,415780.806525,5.338136,0.303343
2,7,7,101.536542,5.685076,410574.764002,7.252573,0.873996
3,8,0,25.100031,2.826586,141895.388616,7.254687,1.258092
4,9,9,64.578229,4.53386,181300.142589,8.165485,2.000853
5,10,0,49.557738,3.97174,133314.786663,4.160608,0.618867
6,12,11,26.384678,2.898017,52902.475438,7.229379,3.435645
7,13,0,110.380844,5.927505,321642.518268,6.08272,0.81823
8,14,0,129.798781,6.427771,429084.646721,6.621175,0.788077
9,15,11,29.052792,3.041018,53753.664863,4.64981,1.467785
10,16,16,38.588827,3.50474,133693.215748,4.964219,0.775228
11,18,17,26.335269,2.895302,68646.267267,5.246832,1.393326
12,19,17,114.135967,6.027488,337891.251936,13.312937,3.793922
13,20,20,154.404717,7.010603,422426.470245,12.201471,2.964899
