,id,ancestor,size,radius,mass,velocity dispersion,virial parameter
0,0,0,420.969021,11.575776,1017125.783917,18.567616,4.708353
1,5,5,38.885284,3.518177,79355.811396,6.342221,2.139946
2,6,6,46.395529,3.842936,104550.158624,6.678139,1.967119
