,id,ancestor,size,radius,mass,velocity dispersion,virial parameter
0,0,0,124.709602,6.3005,58912.147648,10.649738,14.555571
1,1,1,102.524732,5.712673,43667.055609,20.604909,66.651226
2,3,3,119.719241,6.173153,49441.183977,7.557952,8.558697
3,2,2,55.338651,4.197004,23611.478071,10.373477,22.953352
4,23,23,31.22681,3.152745,13270.058211,8.578613,20.981253
5,28,28,145.659234,6.809168,60745.405462,6.66297,5.971695
6,14,14,5650.965596,42.41177,3216843.76217,21.568028,7.359673
7,57,57,26.13763,2.884418,10898.347108,21.649238,148.855205
8,58,58,31.078581,3.145254,12508.330129,19.364234,113.145745
9,61,61,143.139349,6.750013,61059.878744,16.642469,36.74222
10,64,64,38.638236,3.506983,15441.058161,10.290159,28.859054
11,63,63,173.032102,7.421444,72841.510884,15.11545,27.933981
