,size,radius,mass,velocity dispersion,virial parameter
0,48.0,3.904974,25696.75563,7.473029,3.394636
1,136.0,6.58078,116010.159091,9.680269,2.126259
2,40.0,3.578968,30320.895491,8.02031,3.037093
