,size,radius,mass,velocity dispersion,virial parameter
0,140.0,3.217335,13999.434741931025,9.105171396683673,7.621177
1,1312.0,6.790469,135441.75357605977,8.468950617283951,1.438356
2,65.0,2.491293,6966.605924471509,2.9550000000000005,1.249046
3,75.0,2.613008,11189.882618815262,2.947524305555556,0.811503
4,188.0,3.554261,27096.057442319987,3.6024327880356126,0.680918
5,198.0,3.615952,19863.546047963737,1.9621741624144617,0.28035
6,73.0,2.59841,11147.01287934093,1.3979761562769315,0.182225
7,81.0,2.683664,9412.006401174034,2.0424,0.47576
