,size,radius,mass,v_dispersion,vir_param
0,152.0,3.310373,14042.495500216259,3.4162207739854886,1.100486
1,1023.0,6.249876,97094.86945336807,7.7650914336071555,1.552488
2,539.0,5.049553,53638.78286336835,6.87421915419038,1.779429
3,75.0,2.613008,7369.953795595795,2.2092055555555556,0.692163
