,size,radius,mass,velocity_dispersion,virial_parameter
0,48.0,3.904974,25696.75563,7.473029,2241556818.968896
1,136.0,6.58078,116010.159091,9.680269,28615954112.825676
2,40.0,3.578968,30320.895491,8.02031,2792171785.68413
