,size,radius,mass,v_dispersion,virial_parameter
0,826.0,16.213875,473164.767962,9.221555,1.165582
1,77.0,4.939445,52118.290098,11.625517,5.123569
2,544.0,13.161559,349546.853826,9.069003,1.238742
3,312.0,9.971075,226889.682633,8.172541,1.17409
