,id,ancestor,size,radius,mass,velocity dispersion,virial parameter
0,2,2,3.17037,1.00457,13994.646829,5.12567,50.242892
1,0,0,5.612274,1.336579,20437.194345,19.974539,617.834469
2,4,4,2.749706,0.935553,10598.003985,22.833817,1163.34635
3,3,3,3.432003,1.045199,12544.909385,21.134697,868.657695
4,1,1,23.957329,2.761495,109046.240778,26.145962,476.285119
5,6,6,3.011339,0.97905,13938.59385,2.680383,15.092948
6,11,11,2.775357,0.939906,9236.433494,32.491923,2244.919309
7,9,9,19.586527,2.496915,81374.371926,14.491616,165.016233
8,19,19,9.464941,1.735737,46244.911568,41.204705,2013.850026
9,21,21,26.060649,2.880167,129754.17494,50.750178,1711.406022
10,27,27,2.980559,0.974033,12228.889884,4.501402,40.203697
11,48,48,3.360182,1.034205,15311.178576,4.212295,32.87684
12,14,14,342.677018,10.444017,1813474.828404,27.299174,129.780998
13,54,54,12.291598,1.978013,49508.356144,34.388096,1158.665125
14,58,58,23.316073,2.724286,96911.022311,7.225085,37.438557
15,61,61,40.199064,3.577116,151762.24952,4.687868,11.829532
16,67,67,3.13959,0.999681,9728.237091,5.2672,58.483958
17,70,70,45.046961,3.786673,174399.951581,5.944994,17.59207
