,id,ancestor,size,radius,mass,velocity dispersion,virial parameter
0,0,0,5.612274,1.336579,20437.194345,19.974539,617.834469
1,2,2,3.17037,1.00457,13994.646829,5.12567,50.242892
2,3,3,3.432003,1.045199,12544.909385,21.134697,868.657695
3,4,4,2.749706,0.935553,10598.003985,22.833817,1163.34635
4,5,1,7.628383,1.558265,41488.443188,23.482113,620.0947
5,6,6,3.011339,0.97905,13938.59385,2.680383,15.092948
6,8,1,3.760326,1.094052,16254.706988,10.872067,193.507128
7,10,9,4.519573,1.199427,19396.196797,3.62725,20.905992
8,11,11,2.775357,0.939906,9236.433494,32.491923,2244.919309
9,12,9,4.442622,1.189172,20161.448926,15.711859,392.428018
10,13,14,10.634592,1.839863,47014.475138,13.350277,188.330885
11,17,9,6.31509,1.4178,25332.970459,7.313404,73.704138
12,18,19,3.442263,1.04676,17190.258915,43.042841,3588.850568
13,20,19,4.19638,1.155746,21365.593441,40.322455,2832.399233
14,23,21,10.47043,1.825607,57191.828101,6.395987,39.501865
15,26,14,6.510032,1.439516,34544.696487,15.805188,287.686772
16,27,27,2.980559,0.974033,12228.889884,4.501402,40.203697
17,28,21,2.898478,0.960528,17630.278518,9.832475,177.38258
18,34,14,4.801726,1.2363,39272.663928,16.674124,303.583644
19,35,14,7.166679,1.510372,64228.031968,12.116701,125.379419
20,36,14,3.580774,1.067612,22188.471557,7.017852,80.639291
21,37,14,6.622893,1.451941,33158.43339,23.445034,711.30561
22,41,14,3.862927,1.108877,31932.56609,7.767291,76.095461
23,42,14,18.586168,2.432316,169476.901517,7.790286,33.447362
24,44,14,10.342179,1.814392,65737.567041,22.948252,454.436368
25,45,14,5.914947,1.372146,32973.909657,6.151308,46.580732
26,46,14,2.672756,0.922369,15335.033731,16.630129,506.252508
27,47,14,13.57924,2.07904,87775.547864,6.801481,33.091201
28,48,48,3.360182,1.034205,15311.178576,4.212295,32.87684
29,50,14,5.294211,1.298152,32752.724877,6.497285,51.834052
30,51,14,4.986408,1.25985,43597.215497,33.566016,1264.303927
31,52,14,5.858516,1.365585,32677.517721,4.752514,28.386588
32,53,14,3.252451,1.017491,21816.573147,3.611871,19.589551
33,55,14,3.796236,1.099263,18133.110149,22.012335,808.994137
34,56,54,4.119429,1.1451,19150.654816,34.493013,1873.903478
35,57,54,2.647105,0.917932,11560.7216,6.831689,95.297577
36,59,58,6.23814,1.409135,33015.890483,6.9317,59.04894
37,60,58,4.13995,1.147949,22832.718879,4.602478,30.487192
38,63,61,13.250917,2.053752,56532.642517,4.699815,18.710509
39,64,61,4.817116,1.238279,18776.990223,4.373262,28.172129
40,66,61,4.873547,1.245511,21388.918953,4.387451,27.771542
41,67,67,3.13959,0.999681,9728.237091,5.2672,58.483958
42,68,61,2.872827,0.956268,11446.570307,3.946171,31.298868
43,71,70,23.736737,2.748752,104981.870135,5.420356,18.848464
44,72,70,2.862567,0.954559,10756.383106,3.199217,20.254768
45,73,70,7.946446,1.590419,30244.799313,4.118983,19.540582
