,id,ancestor,size,radius,mass,velocity dispersion,virial parameter
0,0,0,8.264509,1.621936,31203.242636,53.820963,138.779822
1,1,1,3.201151,1.009434,11383.446225,7.014626,85.405694
2,5,2,13.250917,2.053752,56532.642517,5.237654,3.354256
3,6,2,4.817116,1.238279,18776.990223,22.726619,96.941362
4,8,2,4.873547,1.245511,21388.918953,2.817911,1.988175
5,9,9,5.648184,1.340848,16207.794858,15.802022,59.729829
6,10,2,2.872827,0.956268,11446.570307,7.384099,165.921829
7,11,2,31.175308,3.150144,122486.261367,6.509973,91.725608
