,size,radius,mass,velocity dispersion,virial parameter
0,186.0,7.695012,2846.787019,2.311087,5.774932
1,11.0,1.892177,160.745853,2.280087,24.478492
2,21.0,2.570962,373.013518,2.246418,13.912727
3,20.0,2.516831,367.100799,2.268698,14.115035
