,id,ancestor,size,radius,mass,velocity dispersion,virial parameter
0,1,1,7.871758,1.582927,4267.23086,5.332159,12.656169
1,27,27,5.400624,1.311134,2890.36599,5.967602,19.385414
2,149,149,3.460917,1.049592,1990.332985,36.84002,858.847085
3,157,157,7.818616,1.577575,4551.230889,4.03626,6.776427
4,171,171,4.842626,1.241554,2764.262629,5.59384,16.865048
5,15,15,4900.365535,39.494744,4197739.826777,39.223734,17.370124
6,178,178,5.526838,1.326366,2980.12135,3.164632,5.34881
7,179,179,4.437413,1.188475,2251.606268,5.312157,17.873953
8,185,185,10.256536,1.806864,5414.29142,20.118675,162.092827
9,186,186,3.932558,1.118826,2019.954026,8.485595,47.859369
10,188,188,12.714384,2.011744,7404.577118,9.980941,32.478557
11,191,191,16.394514,2.284412,8644.908892,10.18442,32.890293
12,190,190,4.052129,1.135708,1964.145663,16.276945,183.831535
