,id,ancestor,size,radius,mass,velocity dispersion,virial parameter
0,1,1,7.871758,1.582927,4267.23086,5.332159,12.656169
1,12,15,13.12624,2.044068,7989.71942,5.665589,9.85451
2,13,15,5.420553,1.313551,3233.711224,5.778699,16.277475
3,25,15,4.351056,1.176854,2619.477017,4.036461,8.783966
4,27,27,5.400624,1.311134,2890.36599,5.967602,19.385414
5,28,15,9.439467,1.7334,5556.663433,38.239569,547.383806
6,29,15,6.828833,1.474342,4095.871057,48.744699,1026.332489
7,32,15,11.419032,1.906513,8220.573722,16.617634,76.852355
8,35,15,7.66583,1.562085,5459.82011,15.518161,82.677648
9,42,15,11.140033,1.883078,7342.630924,15.63196,75.201193
10,43,15,5.387338,1.30952,3399.145537,4.762992,10.487775
11,55,15,3.32806,1.029249,2120.307075,15.721985,143.985213
12,56,15,3.965772,1.123541,3980.559655,8.695956,25.613017
13,67,15,56.437518,4.238469,60136.19072,5.854239,2.898646
14,71,15,27.972974,2.98397,36466.798736,11.547115,13.092572
15,72,15,27.288762,2.94725,43279.065199,7.78046,4.946875
16,74,15,20.054716,2.526582,21421.454522,36.356754,187.083641
17,75,15,3.32806,1.029249,2526.964658,17.060502,142.261154
18,76,15,3.81963,1.102645,5603.185461,5.264775,6.545481
19,77,15,3.494131,1.054617,3871.723413,8.356484,22.825418
20,79,15,16.248372,2.274207,20615.644771,8.494732,9.552426
21,82,15,13.059812,2.038889,14967.834077,23.615184,91.158778
22,84,15,7.05469,1.498525,9254.341677,12.006599,28.011719
23,87,15,4.796126,1.235579,5710.924401,16.005948,66.513221
24,88,15,3.341346,1.031302,3021.496884,26.897504,296.32535
25,90,15,6.822191,1.473625,9071.455764,38.45095,288.20757
26,92,15,5.71948,1.349284,7088.128053,35.317138,284.920725
27,93,15,31.413962,3.162179,37729.19892,33.856259,115.283729
28,94,15,3.886058,1.112192,3840.704878,6.615705,15.209055
29,95,15,9.213611,1.712537,6577.597205,10.850138,36.781084
30,96,15,6.509977,1.43951,6311.093874,3.100551,2.631293
31,97,15,12.368957,1.984228,15461.996296,32.375308,161.411736
32,99,15,11.060319,1.876329,10757.971905,37.677253,297.110626
33,103,15,3.846201,1.106474,3429.277457,3.494486,4.728097
34,104,15,3.514059,1.05762,3400.970519,35.07554,459.109952
35,105,15,4.955554,1.255947,6236.952693,38.493694,358.062755
36,106,15,8.688827,1.663051,11065.640089,9.310462,15.633378
37,107,15,3.952486,1.121657,5236.1751,48.583185,606.735345
38,111,15,3.447631,1.047576,5315.046787,36.452845,314.284129
39,112,15,3.799701,1.099765,4420.59023,8.983243,24.091679
40,113,15,4.364342,1.178649,7052.692953,34.34107,236.503934
41,117,15,31.168177,3.149784,53604.252709,44.543157,139.902271
42,118,15,7.493117,1.544388,5414.929543,52.373741,938.797548
43,121,15,6.762405,1.467154,10574.502047,12.23279,24.914263
44,123,15,9.725109,1.759431,15782.624697,46.054075,283.733392
45,126,15,8.781827,1.671928,17432.370366,25.711291,76.083428
46,127,15,4.955554,1.255947,7201.386715,27.913854,163.070691
47,128,15,24.605057,2.798577,47440.169404,44.445541,139.839111
48,129,15,10.063894,1.789815,12875.41517,21.96108,80.451748
49,130,15,12.475242,1.992735,13015.790432,30.883718,175.23442
50,131,15,4.96884,1.257629,7221.38055,17.838776,66.503374
51,132,15,4.158414,1.150506,4361.524922,53.665377,911.633301
52,133,15,8.549327,1.649647,12805.831943,35.340747,193.070509
53,134,15,14.640806,2.158776,9495.540282,28.838945,226.896541
54,136,15,7.918258,1.587596,12236.009877,48.327534,363.63911
55,137,15,6.782334,1.469314,4593.524654,4.224457,6.850018
56,138,15,5.134911,1.278473,5287.857609,38.147947,422.216637
57,139,15,4.224842,1.159659,6348.497243,40.853058,365.838801
58,140,15,9.638752,1.751602,8759.360994,49.296645,583.148307
59,141,15,9.173754,1.708829,10221.85716,31.994221,205.349246
60,142,15,10.136965,1.796301,12366.097433,28.674568,143.324813
61,143,15,3.719987,1.088168,5163.985516,10.990416,30.543601
62,144,15,13.132883,2.044585,20236.491249,19.497309,46.089338
63,145,15,4.0787,1.139426,4560.983283,27.955311,234.281156
64,146,15,5.912122,1.371819,6300.294949,5.348364,7.474104
65,147,15,7.738902,1.569512,8571.308607,25.449091,142.312611
66,148,15,5.819123,1.360987,4924.598068,31.014565,319.003661
67,149,149,3.460917,1.049592,1990.332985,36.84002,858.847085
68,150,15,3.401131,1.040487,3893.249817,46.574309,695.662454
69,151,15,13.870237,2.101198,10439.759833,42.067263,427.411556
70,152,15,5.546766,1.328755,6122.057209,27.873565,202.354985
71,153,15,3.706701,1.086223,3294.986798,43.040606,732.829907
72,154,15,3.540631,1.061611,4027.511384,13.605062,58.547841
73,155,15,4.018915,1.131044,4118.43255,20.005916,131.900251
74,157,157,7.818616,1.577575,4551.230889,4.03626,6.776427
75,158,15,30.357752,3.108564,21637.879398,6.271871,6.781419
76,159,15,3.932558,1.118826,3920.937371,13.790861,65.123349
77,161,15,10.402678,1.819691,7624.247917,28.470083,232.145006
78,163,15,5.998479,1.381801,3815.320667,18.994628,156.804102
79,164,15,4.258057,1.164209,2894.717652,6.417115,19.874007
80,166,15,6.583049,1.447567,4986.671936,25.53398,227.115123
81,167,15,3.9857,1.12636,2897.949177,17.364285,140.631206
82,170,15,3.919272,1.116935,2525.345475,3.901363,8.078317
83,171,171,4.842626,1.241554,2764.262629,5.59384,16.865048
84,172,15,3.520702,1.058619,2380.839635,4.725284,11.913699
85,173,15,3.607059,1.071523,2595.580513,20.96079,217.652533
86,175,15,4.397556,1.183125,2569.82113,3.829465,8.101873
87,176,15,3.719987,1.088168,2449.724695,4.648479,11.518117
88,177,15,3.899344,1.114091,2222.058663,4.330632,11.283638
89,178,178,5.526838,1.326366,2980.12135,3.164632,5.34881
90,179,179,4.437413,1.188475,2251.606268,5.312157,17.873953
91,180,15,40.647502,3.597013,28753.844827,4.712536,3.333778
92,181,15,5.048554,1.267677,3297.442828,3.470378,5.556048
93,182,15,8.2504,1.62055,5129.877947,17.149645,111.492862
94,183,15,3.567202,1.065587,2200.616377,5.069014,14.930448
95,184,15,4.277985,1.16693,2688.982913,6.48317,21.888336
96,185,185,10.256536,1.806864,5414.29142,20.118675,162.092827
97,186,186,3.932558,1.118826,2019.954026,8.485595,47.859369
98,187,15,11.106819,1.880269,6172.529933,16.551415,100.140144
99,188,188,12.714384,2.011744,7404.577118,9.980941,32.478557
100,189,191,8.894755,1.682643,4935.213607,8.817283,31.808039
101,190,190,4.052129,1.135708,1964.145663,16.276945,183.831535
102,193,191,3.42106,1.043531,1706.474913,11.792381,102.044534
103,194,191,3.474202,1.051605,1718.0981,11.682548,100.244606
