,id,ancestor,size,radius,mass,velocity dispersion,virial parameter
0,3,0,382.618073,11.035901,864278.609263,29.590684,13.416687
1,5,0,300.701443,9.783468,687306.847495,23.361661,9.322466
2,7,7,131.863303,6.478688,257397.212943,13.195037,5.258788
3,8,8,134.672165,6.547326,260137.210088,12.544766,4.753001
4,9,0,76.503187,4.934746,166358.060649,31.282282,34.833657
5,10,0,198.663148,7.952135,431400.63942,30.687805,20.831274
6,11,0,136.817114,6.599261,295547.087636,35.168261,33.139934
7,12,0,100.608329,5.65903,207739.548417,38.148223,47.572144
